t,cpu_c,cpu_mhz,fan_rpm,prochot,prochot_ms,gpu_c,gpu_w,gpu_mhz,gpu_util,gpu_throttle
0.0,54,2721,4300,0,0,46,3.43,180,0,-
2.0,89,3500,4300,0,0,48,9.57,1882,4,-
4.1,66,2514,4300,2,2,48,9.89,1942,4,-
6.1,65,2319,4300,2,2,48,9.58,1335,9,-
8.1,66,2245,4300,2,2,49,10.67,1230,9,-
10.1,66,2336,4300,2,2,49,10.69,1237,10,-
12.2,66,2407,4300,2,2,49,10.65,1237,9,-
14.2,66,2262,4300,2,2,49,10.69,1230,9,-
16.2,68,2252,4300,2,2,49,8.93,742,4,-
18.3,68,2271,4300,2,2,49,10.25,1230,10,-
20.3,67,2193,4300,2,2,49,10.31,885,6,-
22.3,67,2264,4300,2,2,50,10.68,1230,10,-
24.4,68,2331,4300,2,2,50,5.64,405,12,-
26.4,66,2164,4300,2,2,50,9.68,967,7,-
28.4,66,2191,4300,2,2,50,10.51,1005,7,-
30.5,69,2189,4300,2,2,50,9.73,1170,8,-
32.5,68,2257,4300,2,2,50,10.77,1455,9,-
34.5,66,2200,4300,2,2,50,10.15,922,6,-
36.5,67,2210,4300,2,2,50,11.08,1245,10,-
38.6,66,2188,4300,2,2,50,10.35,1125,8,-
40.6,67,2334,4300,2,2,51,10.65,1155,8,-
42.6,67,2255,4300,2,2,51,10.85,1237,9,-
44.7,70,2645,4300,2,2,51,9.24,817,8,-
46.7,70,2608,4300,2,2,51,6.80,907,15,-
48.7,69,2614,4300,2,2,51,6.51,885,14,-
50.8,71,2603,4300,2,2,51,6.81,900,15,-
52.8,71,2614,4300,2,2,51,6.59,892,15,-
54.8,69,2614,4300,2,2,51,6.73,937,15,-
56.8,68,2604,4300,2,2,51,6.58,892,15,-
58.9,70,2363,4300,2,2,51,10.16,1312,10,-
60.9,69,2466,4300,2,2,51,10.43,922,6,-
63.0,70,2642,4300,2,2,51,8.24,975,9,-
65.0,70,2606,4300,2,2,51,8.27,930,9,-
67.0,70,2612,4300,2,2,51,8.35,900,9,-
69.1,67,2264,4300,2,2,52,10.34,1125,10,-
71.1,68,2403,4300,2,2,52,10.95,1230,11,-
73.1,68,2383,4300,2,2,52,10.90,1237,10,-
75.1,68,2210,4300,2,2,52,10.96,1237,11,-
77.2,69,2502,4300,2,2,52,10.92,1237,10,-
