t,cpu_c,cpu_mhz,fan_rpm,prochot,prochot_ms,gpu_c,gpu_w,gpu_mhz,gpu_util,gpu_throttle
0.0,66,2888,4300,0,0,49,3.57,180,0,-
2.0,56,2442,4300,0,0,49,3.97,180,0,-
4.1,59,2499,4300,1,1,49,3.63,180,0,-
6.1,58,2261,4300,1,1,48,3.61,180,0,-
8.1,59,2835,4300,1,1,48,3.77,180,0,-
10.2,57,2602,4300,1,1,48,3.58,180,0,-
12.2,57,2384,4300,1,1,48,3.57,180,0,-
14.3,56,2186,4300,1,1,48,3.56,180,0,-
16.3,56,2436,4300,1,1,48,3.98,180,0,-
18.3,56,2637,4300,1,1,48,3.54,180,0,-
20.4,57,2363,4300,4,11,48,3.54,180,0,-
