t,cpu_c,cpu_mhz,fan_rpm,prochot,prochot_ms,gpu_c,gpu_w,gpu_mhz,gpu_util,gpu_throttle
0.0,60,2989,4300,0,0,40,3.25,180,0,-
2.1,81,3466,4300,0,0,49,35.40,2280,97,sw-power
4.2,67,2456,4300,0,0,51,35.27,2407,99,sw-power
6.2,62,2496,4300,0,0,52,39.26,2505,97,sw-power
8.2,63,2545,4300,0,0,53,40.00,2602,98,sw-power
10.2,63,2514,4300,0,0,54,39.76,2520,94,sw-power
12.3,64,2317,4300,0,0,54,39.67,2490,98,sw-power
14.3,65,2593,4300,0,0,54,39.99,2670,98,sw-power
16.3,66,2511,4300,0,0,56,39.14,2047,98,-
18.3,65,2543,4300,0,0,56,40.44,2595,99,sw-power
20.4,66,2514,4300,0,0,56,40.26,2602,100,sw-power
22.4,67,2540,4300,0,0,57,40.72,2595,100,sw-power
24.4,68,2509,4300,0,0,57,40.28,2662,97,sw-power
26.5,67,2504,4300,0,0,59,39.17,2565,99,-
28.5,68,2538,4300,0,0,58,40.09,2580,89,sw-power
30.5,68,2514,4300,0,0,59,38.97,2370,98,sw-power
32.5,68,2490,4300,0,0,59,40.19,2655,99,sw-power
34.5,68,2504,4300,0,0,59,39.87,2587,98,sw-power
36.6,68,2543,4300,0,0,59,39.63,2692,100,sw-power
38.6,69,2543,4300,0,0,59,39.96,2640,97,sw-power
40.6,70,2514,4300,0,0,60,40.07,2610,99,sw-power
42.6,70,2490,4300,0,0,60,40.04,2625,100,sw-power
44.7,68,2489,4300,0,0,60,40.10,2617,98,sw-power
46.7,69,2512,4300,0,0,60,32.92,1050,87,-
48.7,70,2500,4300,0,0,62,40.33,2460,97,sw-power
50.7,70,2467,4300,0,0,61,40.25,2572,99,sw-power
52.8,71,2543,4300,0,0,62,40.34,2587,100,sw-power
54.8,72,2499,4300,0,0,61,40.10,2625,97,sw-power
56.8,70,2264,4300,0,0,62,40.06,2595,98,sw-power
58.8,72,2507,4300,0,0,62,39.52,2490,88,sw-power
60.9,70,2503,4300,0,0,62,40.14,2572,99,sw-power
62.9,71,2506,4300,0,0,62,40.14,2587,100,sw-power
64.9,72,2543,4300,0,0,62,39.79,2617,99,sw-power
66.9,72,2514,4300,0,0,62,39.88,2572,99,sw-power
68.9,73,2514,4300,0,0,63,39.74,2557,81,sw-power
71.0,72,2465,4300,0,0,63,40.05,2467,96,sw-power
73.0,70,2093,4300,0,0,64,37.86,2647,97,sw-power
75.0,70,2093,4300,0,0,64,40.41,2565,99,sw-power
77.1,74,2329,4300,0,0,64,40.20,2587,97,sw-power
79.1,73,2465,4300,0,0,64,39.93,2602,97,sw-power
81.1,72,2466,4300,0,0,63,40.00,2617,98,sw-power
83.2,72,2382,4300,0,0,65,38.78,2647,72,sw-power
85.2,72,2507,4300,0,0,63,39.29,2722,96,sw-power
87.2,73,2497,4300,0,0,64,40.63,2670,99,sw-power
89.2,73,2242,4300,0,0,62,38.91,2392,77,sw-power
91.3,72,2454,4300,0,0,64,39.35,2460,97,sw-power
93.3,73,2410,4300,0,0,66,38.85,2707,95,-
95.3,73,2336,4300,0,0,65,39.64,2317,100,sw-power
97.4,74,2497,4300,0,0,64,40.34,2527,98,sw-power
99.4,74,2507,4300,0,0,64,39.99,2565,98,sw-power
101.4,73,2226,4300,0,0,61,39.24,2565,82,sw-power
103.4,74,2464,4300,0,0,65,38.88,2625,88,sw-power
105.5,74,2453,4300,0,0,65,40.11,2617,98,sw-power
107.5,74,2510,4300,0,0,66,37.45,2550,82,-
109.5,74,2243,4300,0,0,67,38.22,2212,95,sw-power
111.5,74,2459,4300,0,0,66,37.69,2332,83,sw-power
113.6,74,2460,4300,0,0,66,39.30,2272,94,sw-power
115.6,73,2355,4300,0,0,63,39.74,2550,74,sw-power
117.6,75,2260,4300,0,0,66,40.01,2602,100,sw-power
