t,cpu_c,cpu_mhz,fan_rpm,prochot,prochot_ms,gpu_c,gpu_w,gpu_mhz,gpu_util,gpu_throttle
0.0,82,2407,4300,0,0,63,12.17,975,6,-
3.2,83,2371,4300,0,0,63,10.14,547,1,-
6.3,80,2385,4300,0,0,65,19.56,1050,21,-
9.4,80,2805,4300,0,0,66,24.77,1492,38,sw-power
12.4,79,3149,4300,0,0,68,32.28,1755,58,sw-power
15.5,82,3176,4300,0,0,69,31.77,1770,55,sw-power
18.5,80,2972,4300,0,0,69,27.98,1770,53,sw-power
21.6,82,3154,4300,0,0,68,29.01,1567,43,sw-power
24.6,81,2872,4300,0,0,68,27.17,1575,39,sw-power
27.7,81,2741,4300,0,0,67,26.42,1500,36,-
30.7,80,2735,4300,0,0,68,26.58,1537,45,sw-power
33.8,80,2914,4300,0,0,67,25.34,1440,30,-
36.8,82,3138,4300,0,0,67,23.54,1462,35,sw-power
39.9,80,2978,4300,0,0,67,21.00,1395,25,-
42.9,82,2367,4300,0,0,67,22.37,1342,33,-
46.0,80,2921,4300,0,0,68,22.37,1417,36,sw-power
49.0,81,2643,4300,0,0,67,23.58,1395,36,sw-power
52.1,82,2792,4300,0,0,67,24.81,1507,39,sw-power
55.1,80,2848,4300,0,0,67,23.50,1447,29,-
58.2,82,2978,4300,0,0,67,22.50,1417,34,-
61.2,82,2546,4300,0,0,67,23.23,1372,29,-
64.3,80,2876,4300,0,0,68,23.41,1477,38,sw-power
67.3,80,3148,4300,0,0,67,24.55,1365,34,sw-power
70.4,80,3140,4300,0,0,66,20.18,1305,32,-
73.4,80,2937,4300,0,0,67,22.07,1357,31,-
76.5,80,2924,4300,0,0,66,21.73,1290,30,sw-power
79.6,80,2982,4300,0,0,66,20.71,1380,31,sw-power
82.6,82,3200,4300,0,0,67,19.84,1297,31,-
85.7,80,3084,4300,0,0,67,23.07,1410,36,sw-power
88.7,80,2932,4300,0,0,67,22.47,1380,32,-
91.8,80,3016,4300,0,0,66,23.43,1417,37,-
94.8,80,3125,4300,0,0,67,23.75,1380,35,-
97.9,80,2983,4300,0,0,67,22.49,1357,30,sw-power
100.9,82,2799,4300,0,0,66,21.88,1350,28,-
104.0,80,2952,4300,0,0,67,21.28,1350,29,-
107.0,80,3130,4300,0,0,68,27.93,1597,47,sw-power
110.1,82,2463,4300,0,0,68,29.11,1620,53,sw-power
113.1,82,2814,4300,0,0,67,27.31,1545,28,sw-power
116.2,82,3029,4300,0,0,69,29.79,1642,46,sw-power
119.2,80,2995,4300,0,0,67,26.01,1567,29,-
122.3,82,3156,4300,0,0,68,24.31,1447,34,sw-power
125.3,82,3031,4300,0,0,68,22.91,1485,37,sw-power
128.4,82,3144,4300,0,0,67,22.32,1365,30,-
131.4,82,3153,4300,0,0,67,21.66,1320,32,sw-power
134.5,80,3010,4300,0,0,67,23.20,1312,29,sw-power
137.5,80,2965,4300,0,0,67,23.05,1342,35,sw-power
140.6,81,2864,4300,0,0,66,22.50,1335,31,sw-power
143.6,80,3157,4300,0,0,68,24.44,1395,32,-
146.7,80,3134,4300,0,0,68,23.55,1455,33,sw-power
149.8,80,2727,4300,0,0,67,22.89,1342,29,-
152.8,80,3149,4300,0,0,67,22.97,1372,31,sw-power
155.9,80,3149,4300,0,0,67,23.11,1342,35,sw-power
158.9,80,3100,4300,0,0,67,22.89,1455,36,sw-power
162.0,80,3102,4300,0,0,68,23.30,1432,34,-
165.0,80,3124,4300,0,0,66,20.76,1320,30,-
168.1,82,3025,4300,0,0,66,20.71,1357,30,-
171.1,80,2993,4300,0,0,67,22.49,1455,36,-
174.2,80,3135,4300,0,0,67,22.57,1410,32,sw-power
177.2,82,2965,4300,0,0,68,24.03,1642,37,-
180.3,82,2999,4300,0,0,68,23.71,1455,37,-
183.3,82,3147,4300,0,0,67,23.24,1485,38,sw-power
186.4,83,2404,4300,0,0,67,23.61,1477,38,sw-power
189.4,80,3113,4300,0,0,66,22.29,1372,37,sw-power
192.5,82,3164,4300,0,0,67,22.63,1350,33,sw-power
195.5,80,3152,4300,0,0,67,24.15,1455,40,sw-power
198.6,80,2725,4300,0,0,66,20.81,1267,26,-
201.7,80,3122,4300,0,0,67,22.08,1327,35,-
204.7,80,2990,4300,0,0,67,23.39,1432,36,sw-power
207.8,80,3199,4300,0,0,67,21.97,1402,32,-
210.8,80,2995,4300,0,0,66,20.94,1275,31,-
213.9,80,2972,4300,0,0,67,21.72,1327,37,sw-power
216.9,80,2957,4300,0,0,66,22.30,1380,35,-
220.0,80,2990,4300,0,0,67,22.77,1380,33,-
223.0,80,2996,4300,0,0,66,20.86,1462,33,-
226.1,80,2873,4300,0,0,66,20.57,1432,35,-
229.2,80,2881,4300,0,0,66,21.73,1312,22,-
232.2,82,3148,4300,0,0,67,22.43,1402,32,-
235.3,80,2921,4300,0,0,67,23.51,1447,38,sw-power
238.3,80,3032,4300,0,0,66,20.85,1260,31,-
241.4,80,3000,4300,0,0,66,22.25,1500,35,-
244.4,82,2749,4300,0,0,67,27.22,1530,39,sw-power
247.5,82,2856,4300,0,0,68,28.44,1612,45,sw-power
250.5,80,3140,4300,0,0,67,25.37,1560,42,sw-power
253.6,80,2993,4300,0,0,67,26.03,1455,51,sw-power
256.6,80,2934,4300,0,0,67,25.96,1395,36,sw-power
259.7,81,2660,4300,0,0,67,22.43,1252,29,-
262.7,81,3129,4300,0,0,67,23.22,1357,32,sw-power
265.8,80,2932,4300,0,0,67,23.35,1365,33,-
268.9,83,2832,4300,0,0,67,22.12,1357,31,sw-power
271.9,81,2705,4300,0,0,66,23.08,1305,25,-
274.9,80,3053,4300,0,0,67,23.75,1470,34,sw-power
278.0,82,3157,4300,0,0,67,23.86,1335,31,sw-power
281.0,80,2528,4300,0,0,68,23.26,1372,32,-
284.1,80,3200,4300,0,0,66,21.53,1342,30,-
287.2,80,3130,4300,0,0,66,22.09,1365,32,-
290.2,81,3174,4300,0,0,66,20.90,1267,31,sw-power
293.3,81,2966,4300,0,0,67,21.64,1342,30,sw-power
296.3,79,3084,4300,0,0,67,22.95,1387,35,-
299.4,80,2968,4300,0,0,66,21.27,1350,34,sw-power
302.4,80,2806,4300,0,0,67,22.75,1372,37,-
305.5,80,2623,4300,0,0,66,23.27,1447,26,sw-power
308.5,80,2981,4300,0,0,67,23.60,1327,42,sw-power
311.6,80,2740,4300,0,0,67,26.67,1635,45,sw-power
314.6,80,3100,4300,0,0,67,24.50,1425,41,sw-power
317.7,81,3064,4300,0,0,67,23.14,1560,40,sw-power
320.7,80,2642,4300,0,0,68,26.21,1590,40,sw-power
323.8,80,3021,4300,0,0,67,24.16,1477,36,sw-power
326.8,79,2902,4300,0,0,67,21.94,1417,37,-
329.9,79,3001,4300,0,0,67,23.91,1417,32,-
332.9,80,3062,4300,0,0,67,23.89,1387,32,-
336.0,79,2902,4300,0,0,66,22.77,1440,34,-
339.0,80,3147,4300,0,0,67,24.37,1417,35,-
342.1,82,2898,4300,0,0,67,24.10,1432,38,sw-power
345.1,80,3157,4300,0,0,67,23.75,1485,36,-
348.2,80,3195,4300,0,0,67,24.38,1545,39,sw-power
351.2,85,3183,4300,0,0,67,24.28,1470,41,sw-power
354.3,82,3140,4300,0,0,68,26.33,1327,33,sw-power
357.3,80,3152,4300,0,0,68,28.17,1650,50,sw-power
360.4,80,2985,4300,0,0,69,27.45,1552,44,sw-power
363.5,80,2894,4300,0,0,67,25.81,1425,47,sw-power
366.5,83,3257,4300,0,0,67,24.21,1200,33,sw-power
369.6,80,3176,4300,0,0,67,24.41,1432,37,sw-power
372.6,83,3129,4300,0,0,67,22.27,1282,32,sw-power
375.7,82,2987,4300,0,0,68,24.67,1485,34,sw-power
378.7,80,3131,4300,0,0,67,21.38,1215,33,-
381.8,82,2934,4300,0,0,68,24.87,1417,33,sw-power
384.8,80,2866,4300,0,0,67,24.93,1425,33,sw-power
387.9,81,2850,4300,0,0,67,22.81,1447,33,-
390.9,80,2941,4300,0,0,68,26.01,1545,39,sw-power
394.0,80,3128,4300,0,0,67,25.39,1492,38,-
397.0,83,2510,4300,0,0,68,26.50,1620,39,sw-power
400.1,81,2724,4300,0,0,68,26.19,1552,38,sw-power
403.1,79,2582,4300,0,0,68,28.06,1597,46,sw-power
406.2,82,2850,4300,0,0,69,30.76,1747,63,sw-power
409.2,82,2987,4300,0,0,69,28.54,1620,48,sw-power
412.3,82,3153,4300,0,0,68,25.64,1447,39,sw-power
415.3,80,2756,4300,0,0,68,25.47,1417,36,sw-power
418.4,80,2873,4300,0,0,68,25.34,1447,36,sw-power
421.4,82,2779,4300,0,0,68,25.07,1395,37,sw-power
424.5,81,2756,4300,0,0,68,24.66,1357,38,sw-power
427.5,80,2846,4300,0,0,67,23.16,1282,32,-
430.6,80,2982,4300,0,0,68,22.80,1290,39,sw-power
433.6,80,2987,4300,0,0,67,24.00,1395,31,-
436.7,82,2973,4300,0,0,68,24.07,1387,36,sw-power
439.7,82,2857,4300,0,0,68,25.86,1635,43,sw-power
442.8,82,2771,4300,0,0,68,25.77,1395,39,sw-power
445.8,80,2670,4300,0,0,67,21.88,1447,24,-
448.8,82,2844,4300,0,0,68,24.18,1485,37,sw-power
451.9,80,2835,4300,0,0,67,25.24,1560,34,sw-power
455.0,82,2857,4300,0,0,68,24.68,1455,37,-
458.0,80,2888,4300,0,0,68,25.22,1372,35,-
461.1,82,2816,4300,0,0,67,24.02,1372,30,-
464.1,83,2498,4300,0,0,67,24.40,1387,38,sw-power
467.2,82,2507,4300,0,0,67,24.43,1327,34,-
470.2,82,2761,4300,0,0,67,23.79,1432,33,sw-power
473.3,82,2393,4300,0,0,67,26.66,1387,35,sw-power
476.3,80,2606,4300,0,0,67,24.81,1432,32,sw-power
479.3,81,2944,4300,0,0,68,23.33,1335,31,-
482.4,81,2846,4300,0,0,68,24.27,1387,33,sw-power
485.4,82,2814,4300,0,0,67,22.14,1447,33,-
488.5,82,2557,4300,0,0,68,24.79,1417,39,-
491.5,82,2720,4300,0,0,68,26.01,1552,33,sw-power
494.6,80,2990,4300,0,0,68,24.77,1372,38,sw-power
497.7,82,2542,4300,0,0,67,23.34,1402,28,sw-power
500.7,82,2776,4300,0,0,67,23.33,1492,31,-
503.8,82,2993,4300,0,0,67,22.85,1230,34,-
506.8,80,2888,4300,0,0,67,23.39,1395,33,-
509.9,83,2471,4300,0,0,67,20.14,1342,21,-
512.9,83,2774,4300,0,0,67,22.20,1275,31,sw-power
516.0,83,2935,4300,0,0,67,21.63,1327,34,-
519.0,82,2605,4300,0,0,66,20.33,1267,24,-
522.1,81,2784,4300,0,0,66,21.71,1350,34,-
525.1,82,2920,4300,0,0,67,22.27,1357,32,-
528.2,79,2574,4300,0,0,67,21.54,1282,32,sw-power
531.3,80,2992,4300,0,0,68,23.96,1372,33,sw-power
534.3,82,2614,4300,0,0,67,22.49,1417,29,-
537.4,84,2974,4300,0,0,67,22.22,1350,33,-
540.4,80,2788,4300,0,0,67,22.38,1387,33,-
543.5,79,2863,4300,0,0,67,21.77,1395,29,-
546.5,81,2814,4300,0,0,67,22.42,1357,32,sw-power
549.6,82,2900,4300,0,0,68,24.14,1455,36,-
552.7,83,2806,4300,0,0,67,24.33,1447,36,sw-power
555.7,81,2921,4300,0,0,67,21.61,1350,35,-
558.8,81,2877,4300,0,0,67,18.83,1372,31,-
561.8,80,2858,4300,0,0,68,27.09,1650,47,sw-power
564.9,80,3154,4300,0,0,68,30.17,1860,56,sw-power
567.9,82,3134,4300,0,0,69,27.41,1507,49,sw-power
571.0,83,2868,4300,0,0,69,28.41,1590,45,sw-power
574.0,81,3000,4300,0,0,68,23.96,1410,39,sw-power
577.1,80,3139,4300,0,0,68,26.31,1567,35,sw-power
580.1,82,2993,4300,0,0,67,28.48,1567,43,sw-power
583.1,82,2733,4300,0,0,69,27.43,1620,34,sw-power
586.2,83,3032,4300,0,0,67,22.83,1425,31,-
589.3,80,2806,4300,0,0,67,21.98,1350,36,sw-power
592.3,80,3055,4300,0,0,67,21.14,1162,22,-
595.4,80,3189,4300,0,0,67,22.16,1327,31,-
598.4,82,2931,4300,0,0,67,23.57,1410,32,sw-power
601.5,82,2700,4300,0,0,67,21.56,1395,36,sw-power
604.5,82,2861,4300,0,0,66,22.55,1320,31,sw-power
607.6,80,3129,4300,0,0,67,21.67,1185,23,-
610.6,80,3105,4300,0,0,67,23.08,1350,30,-
613.7,83,2992,4300,0,0,67,23.06,1350,33,sw-power
616.7,80,2483,4300,0,0,67,21.42,1290,23,-
619.8,80,3061,4300,0,0,68,23.33,1432,36,sw-power
622.8,80,2946,4300,0,0,67,22.88,1327,34,-
625.9,81,2736,4300,0,0,67,22.23,1297,32,sw-power
628.9,82,3283,4300,0,0,68,23.38,1455,36,-
632.0,80,2674,4300,0,0,66,20.75,1342,27,sw-power
635.0,80,3012,4300,0,0,67,22.14,1357,38,-
638.1,82,3117,4300,0,0,67,22.06,1327,34,-
641.1,80,2772,4300,0,0,67,23.10,1455,32,-
644.2,80,2832,4300,0,0,66,21.72,1357,23,-
647.2,82,2988,4300,0,0,67,26.09,1605,45,-
650.3,80,3117,4300,0,0,67,25.15,1650,39,-
653.3,82,2949,4300,0,0,68,23.96,1702,41,sw-power
656.4,80,2455,4300,0,0,68,29.28,1620,49,sw-power
659.4,82,2471,4300,0,0,68,25.67,1477,42,sw-power
662.5,80,2951,4300,0,0,67,26.52,1530,37,sw-power
665.5,80,2952,4300,0,0,68,27.37,1567,40,sw-power
668.6,80,2823,4300,0,0,68,26.12,1470,34,sw-power
671.6,81,2834,4300,0,0,67,20.49,1365,32,-
674.7,80,3018,4300,0,0,67,25.11,1470,35,sw-power
677.7,82,3157,4300,0,0,67,21.56,1387,29,-
680.8,80,2976,4300,0,0,67,23.11,1335,29,sw-power
683.8,80,2800,4300,0,0,67,21.49,1327,29,-
686.9,82,2800,4300,0,0,67,21.81,1372,29,sw-power
689.9,81,3136,4300,0,0,67,21.25,1342,29,-
693.0,80,2970,4300,0,0,67,23.61,1620,38,-
696.0,82,2940,4300,0,0,68,25.61,1612,42,sw-power
699.1,81,2963,4300,0,0,67,24.60,1432,35,sw-power
702.1,83,2916,4300,0,0,68,26.04,1567,40,sw-power
705.2,80,3075,4300,0,0,67,22.22,1312,36,-
708.2,81,3131,4300,0,0,67,25.12,1522,40,sw-power
711.3,82,2649,4300,0,0,67,22.85,1477,38,-
714.3,83,2908,4300,0,0,67,22.82,1440,36,-
717.4,80,2978,4300,0,0,66,22.19,1462,28,-
720.4,81,2879,4300,0,0,67,24.18,1455,37,sw-power
723.5,81,2711,4300,0,0,68,22.89,1455,37,sw-power
726.5,80,2835,4300,0,0,68,24.76,1537,37,-
729.6,80,2895,4300,0,0,67,22.94,1387,33,sw-power
732.6,82,2803,4300,0,0,67,23.36,1470,35,-
735.7,83,2698,4300,0,0,67,23.91,1365,27,-
738.7,80,2841,4300,0,0,68,25.05,1515,36,-
741.8,82,2708,4300,0,0,67,24.20,1522,35,-
